,1,2,3,4,5,CY,Z_count_1,Z_count_2,Z_count_3,Z_count_4,Z_count_5,Z_count_6,Z_min,Z_T,Z_max,Z_min_61,Z_max_61,Z_min_c,Z_T_c,Z_max_c,Z_min_61_c,Z_max_61_c,F_count_1,F_count_2,F_count_3,F_count_4,F_count_5,F_count_6,F_min,F_T,F_max,F_min_56,F_max_56,F_min_c,F_T_c,F_max_c,F_min_56_c,F_max_56_c
145,1,1,5,1,2,1,3,1,0,0,1,0,0,3,3,0,3,0,3,3,0,3,3,4,3,3,4,3,3,4,4,3,4,3,4,4,3,4
146,1,1,5,1,3,1,3,0,1,0,1,0,0,3,3,0,3,0,3,3,0,3,3,3,4,3,4,3,3,3,4,3,4,3,3,4,3,4
147,1,1,5,1,4,1,3,0,0,1,1,0,0,3,3,0,3,0,3,3,0,3,3,3,3,4,4,3,3,3,4,3,4,3,3,4,3,4
148,1,1,5,1,5,1,3,0,0,0,2,0,0,3,3,0,3,0,3,3,0,3,3,3,3,3,5,3,3,3,5,3,5,3,3,5,3,5
149,1,1,5,1,6,1,3,0,0,0,1,1,0,3,3,1,3,0,3,3,1,3,3,3,3,3,4,4,3,3,4,4,4,3,3,4,4,4
150,1,1,5,2,1,1,3,1,0,0,1,0,0,3,3,0,3,0,3,3,0,3,3,4,3,3,4,3,3,4,4,3,4,3,4,4,3,4
151,1,1,5,2,2,1,2,2,0,0,1,0,0,2,2,0,2,0,2,2,0,2,2,4,2,2,3,2,2,4,4,2,3,2,4,4,2,3
152,1,1,5,2,3,1,2,1,1,0,1,0,0,2,2,0,2,0,2,2,0,2,2,3,3,2,3,2,2,3,3,2,3,2,3,3,2,3
153,1,1,5,2,4,1,2,1,0,1,1,0,0,2,2,0,2,0,2,2,0,2,2,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3
154,1,1,5,2,5,1,2,1,0,0,2,0,0,2,2,0,2,0,2,2,0,2,2,3,2,2,4,2,2,3,4,2,4,2,3,4,2,4
155,1,1,5,2,6,1,2,1,0,0,1,1,0,2,2,1,2,0,2,2,1,2,2,3,2,2,3,3,2,3,3,3,3,2,3,3,3,3
156,1,1,5,3,1,1,3,0,1,0,1,0,0,3,3,0,3,0,3,3,0,3,3,3,4,3,4,3,3,3,4,3,4,3,3,4,3,4
157,1,1,5,3,2,1,2,1,1,0,1,0,0,2,2,0,2,0,2,2,0,2,2,3,3,2,3,2,2,3,3,2,3,2,3,3,2,3
158,1,1,5,3,3,1,2,0,2,0,1,0,0,2,2,0,2,0,2,2,0,2,2,2,4,2,3,2,2,2,4,2,3,2,2,4,2,3
159,1,1,5,3,4,1,2,0,1,1,1,0,0,2,2,0,2,0,2,2,0,2,2,2,3,3,3,2,2,2,3,2,3,2,2,3,2,3
160,1,1,5,3,5,1,2,0,1,0,2,0,0,2,2,0,2,0,2,2,0,2,2,2,3,2,4,2,2,2,4,2,4,2,2,4,2,4
161,1,1,5,3,6,1,2,0,1,0,1,1,0,2,2,1,2,0,2,2,1,2,2,2,3,2,3,3,2,2,3,3,3,2,2,3,3,3
162,1,1,5,4,1,1,3,0,0,1,1,0,0,3,3,0,3,0,3,3,0,3,3,3,3,4,4,3,3,3,4,3,4,3,3,4,3,4
163,1,1,5,4,2,1,2,1,0,1,1,0,0,2,2,0,2,0,2,2,0,2,2,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3
164,1,1,5,4,3,1,2,0,1,1,1,0,0,2,2,0,2,0,2,2,0,2,2,2,3,3,3,2,2,2,3,2,3,2,2,3,2,3
